positif	robusta	futures	kurs
2	18290	1265	14413
0	18407	1332	14222
0	18999	1285	14171
0	18665	1251	14168
2	18234	1245	14267
0	18234	1245	14267
2	18234	1245	14267
13	17815	1246	14342
8	17936	1283	14411
7	17936	1272	14323
0	18442	1226	14490
35	18442	1215	14815
27	18442	1215	14815
21	18442	1215	14815
17	18442	1223	14818
38	18320	1186	15083
55	18320	1201	15223
82	18320	1190	15712
60	18320	1218	16273
81	18320	1218	16273
64	18320	1218	16273
65	18320	1233	16608
106	18320	1246	16486
105	18320	1246	16486
103	18320	1241	16328
153	18320	1209	16230
109	18320	1209	16230
130	18320	1209	16230
129	18320	1203	16336
114	18320	1186	16367
149	18320	1171	16413
113	18320	1209	16741
196	18320	1191	16464
106	18320	1191	16464
181	18320	1191	16464
218	18320	1194	16556
247	18320	1206	16410
218	19975	1200	16245
337	19975	1189	16241
219	19975	1189	16241
330	19975	1189	16241
399	19975	1189	16241
316	19975	1189	15840
282	19006	1159	15722
297	18439	1169	15707
380	18719	1168	15787
407	18356	1151	15503
325	18356	1151	15503
327	18356	1151	15503
185	18097	1140	15543
375	18097	1103	15643
283	18097	1084	15567
357	16982	1113	15630
436	17421	1098	15553
396	17421	1098	15553
275	17421	1098	15553
214	17192	1122	15591
415	17192	1152	15488
260	17192	1158	15415
347	17759	1166	15157
433	17759	1177	15157
292	17759	1177	15157
349	17759	1177	15157
395	17759	1170	15073
484	17759	1173	15104
367	17988	1174	15127
338	17988	1159	15127
336	17599	1159	15009
533	17599	1159	15009
387	17599	1159	15009
233	17599	1168	14936
484	17719	1150	14978
689	17719	1121	14887
568	17719	1141	14946
490	17719	1151	14909
529	17719	1151	14909
489	17719	1151	14909
496	17311	1155	14885
486	17306	1157	14823
693	17295	1154	14785
973	17295	1157	14785
634	17295	1157	14785
949	17295	1157	14785
526	17295	1157	14785
479	17295	1157	14785
415	17295	1219	14774
686	18331	1210	14761
687	18187	1177	14769
678	17575	1169	14733
557	17575	1169	14733
700	17575	1169	14733
467	17575	1159	14733
609	16989	1179	14502
684	16989	1202	14245
585	17292	1196	14165
703	17112	1233	14100
993	17112	1233	14100
672	17112	1233	14100
847	17534	1250	13956
1043	17832	1221	13973
1240	17501	1224	14083
979	17462	1196	14014
1111	17308	1181	14257
1014	17308	1181	14257
857	17308	1181	14257
1017	17023	1165	14228
1106	16670	1148	14155
1031	16670	1150	14234
1331	16460	1134	14186
1041	16261	1145	14242
1226	16261	1145	14242
862	16261	1145	14242
954	16405	1159	14209
1051	16405	1158	14265
1113	16405	1145	14160
1178	16431	1128	14231
1240	16158	1128	14239
1385	16158	1128	14239
1198	16158	1128	14239
1082	16158	1153	14369
1293	16648	1162	14302
1385	16648	1190	14341
1624	17529	1172	14516
1301	17529	1169	14566
1447	17529	1169	14566
1607	17529	1169	14566
1209	17212	1150	14547
1268	16782	1161	14456
1853	16972	1162	14460
2657	16972	1167	14446
1611	17123	1167	14501
1671	17123	1167	14501
1681	17123	1167	14501
1282	17104	1194	14486
1591	17104	1185	14512
1522	17568	1196	14616
1574	17775	1204	14632
1462	18098	1268	14780
1752	18098	1268	14780
1639	18098	1268	14780
1693	18098	1253	14832
1655	18984	1292	14813
1882	19442	1332	14655
1906	20144	1325	14669
1761	19947	1333	14614
1868	19947	1333	14614
1492	19947	1333	14614
1525	20071	1333	14605
1748	20204	1336	14543
2381	20072	1344	14570
1904	20072	1340	14653
2040	20072	1344	14653
1560	20072	1344	14653
1519	20072	1344	14653
1679	20411	1351	14713
1922	20508	1404	14697
1815	21305	1379	14623
1882	20827	1368	14587
2473	20827	1393	14647
2277	20827	1393	14647
1893	20827	1393	14647
1687	21305	1391	14750
1693	21238	1383	14728
1942	21173	1394	14777
2098	21510	1442	14877
2307	22402	1445	14917
2345	22402	1445	14917
2081	22402	1445	14917
1821	22402	1440	14917
1673	22352	1470	14907
1902	22683	1451	14786
2266	22683	1457	14786
2197	22683	1477	14786
2090	22683	1477	14786
2037	22683	1477	14786
1877	22816	1496	14794
2447	22885	1512	14632
2306	23164	1521	14636
2719	23444	1498	14714
3003	23444	1522	14702
3308	23444	1522	14702
2858	23444	1522	14702
2743	23201	1522	14554
2775	23300	1554	14615
3075	24159	1530	14740
3622	24159	1526	14760
3269	24159	1532	14740
3128	24159	1532	14740
3444	24159	1532	14740
2880	23698	1517	14730
3046	23512	1501	14760
3307	23324	1505	14780
3861	23422	1512	14820
3737	23718	1522	14860
3806	23718	1522	14860
3636	23718	1522	14860
3141	23844	1480	14860
3507	22988	1482	14835
3963	22981	1479	14825
3635	22983	1486	14820
3891	22930	1456	14730
4168	22930	1456	14730
3989	22930	1456	14730
4176	22345	1445	14690
4071	22345	1430	14750
4465	22069	1410	14780
4634	21894	1410	14845
4823	20888	1358	14845
4494	20888	1358	14845
3874	20888	1358	14845
3509	21004	1327	14850
4002	20409	1304	14845
4284	20007	1305	14897
